county,date,inmates_active_positive_test_confirmation,inmates_pending_test_results,inmates_quarantined,inmates_treated_offside,inmates_deaths_confirmed,inmates_deaths_suspected,staff_active_positive_test,staff_quarantined_pending_test_results
Bexar,2020-05-12,208,124,1185,0,1,0,41,581
Dallas,2020-05-12,233,9,824,0,0,0,47,13
Fannin,2020-05-12,2,0,25,0,0,0,0,1
Gregg,2020-05-12,4,0,19,0,0,0,2,0
Harris,2020-05-12,669,5,2511,14,0,1,193,56
Haskell,2020-05-12,35,7,0,0,0,0,0,3
Montgomery,2020-05-12,4,1,79,0,0,0,0,6
Smith,2020-05-12,10,6,153,3,0,0,17,18
Tarrant,2020-05-12,58,0,132,3,0,0,33,57
Webb,2020-05-12,15,1,228,0,0,0,9,0